review,appName,platform,sentiment,cleaned_reviews,encoded_sentiment,review_length,category
لماذا لايتم الاستعلام عن الفواتير يطلب التسجيل في خدمة حسابي وانا لدي اكثر من حساب اتحقق منهم,ALKAHRABA,android,negative,لماذا لايتم الاستعلام عن الفواتير يطلب التسجيل في خدمه حسابي وانا لدي اكثر من حساب اتحق منهم,0,92,Electricity & Energy
افضل لعبة في عالم,Nida Harb 3: Alliance Empire MMO Nuclear War,android,positive,افضل لعبه في عالم,1,17,Gaming
المطعم معروف ما يحتاج تقييم بس سرعة وصول الطلب يشكرون عليها,HungerStation,ios,positive,المطعم معروف ما يحتاج تقيم بس سرعه وصول الطلب يشكرون عليها,1,58,Food Delivery
ما يستاهلون لعبة جذب وتختلف عن الاعلان,Mafia City,android,negative,ما يستاهلون لعبه جذب وتختلف عن الاعلان,0,38,Gaming
الله يحفظك يافلسطين والمسجد الأقصى,Google Maps Transit & Food,ios,negative,اله يحفظك يافلسطين والمسجد الاقصي,0,33,Utilities
لا يعمل مع هواوي بي ٣٠ برو نهائيًا، الرجاء تحديثه.,AlAhliToken,android,negative,لا يعمل مع هواوي بي برو نهائيا، الرجاء تحديثه,0,49,Banking & Finance
من التطبيقات الجميلة جداً حبذا ممن يستخدمه يكون صادقاً فيما يقوله,Skout — Meet New People,ios,positive,من التطبيقات الجميله جدا حبذا من يستخدمه يكون صادقا فيما يقوله,1,62,Social Meeting
 ٠ ٩ ٨ ٧ ٦ ٥ ٤ ٣ ٢ ١ ٠ جميلة,Top War: Battle Game,android,negative,جميله,0,28,Gaming
رغم كل هالشكاوى على التطبيق لم يكلف احداً نفسه من وزارة الصحة للرد على الناس للأسف هذا يدل على عدم الاحترام للموظفين وهذا ديدن وزراة الصحة للأسف تطبيقات وزارة الصحة كل واحد اسوأ من الثاني تطبيقات غبيه جداً ولا تفتح وان فتحت عملها بطيئ وثقيل جداً المشكلة بجبرون الموظف على الدخول وعمل الاجازات وخدمة مديري والتطبيق لايعمل اتركو التقنيه لأهلها حدكم ورقي ويخب عليكم,موارد Mawared,android,negative,رغم كل هالشكاوي علي التطبيق لم يكلف احدا نفسه من وزاره الصحه لرد علي الناس لاسف هذا يدل علي عدم الاحترام لموظفين وهذا ديدن وزراه الصحه لاسف تطبيقات وزاره الصحه كل واحد اسوا من الثاني تطبيقات غبيه جدا ولا تفتح وان فتحت عملها بطيئ وثقيل جدا المشكله بجبرون الموظف علي الدخول وعمل الاجازات وخدمه مديري والتطبيق لايعمل اتركو التقنيه لاهلها حدكم ورقي ويخب عليكم,0,355,Government Services
مررره جميل واشكر المطورين وياريت تضيفو هدايا جديدهً,Yalla Group Voice Chat Rooms,ios,positive,مره جميل واشكر المطورين وياريت تضيفو هدايا جديده,1,48,Voice Chat
كل ماتخش تطبيق تحصل لها اعلان من اسواء الالعاب لو فيه اقل من نجمة بقيمها,Gardenscapes,ios,negative,كل ماتخش تطبيق تحصل لها اعلان من اسواء الالعاب لو فيه اقل من نجمه بقيمها,0,72,Gaming
شكرا وزير العدل خدمة مميزه,وزارة العدل السعودية MOJ,android,positive,شكرا وزير العدل خدمه ميزه,1,25,Government Services
لم اثق ابدا في الاصدقاء علي الإنترنت لكن مع تطبيق يلا وجدت ان هناك اشخاص مثلي تماما يمكن ان يكونو افضل,Yalla Group Voice Chat Rooms,ios,positive,لم اثق ابدا في الاصدقاء علي الانترنت لكن مع تطبيق يلا وجدت ان هناك اشخاص مثلي تماما يمكن ان يكونو افضل,1,102,Voice Chat
الصراحه ولا تستاهل نجمه ما ترضى تحمل الحزم المفروض تتعاون الشركه معنا تسهل التحميل ارجو اصلاح المشكلة في بطئ التحميل و شكرا ملحوظه برفع التقيم اذا حلت المشكله باسرع وقت,انتقام السلاطين,android,negative,الصراحه ولا تستاهل نجمه ما ترضي تحمل الحزم المفروض تعاون الشركه معنا تسهل التحميل ارجو اصلاح المشكله في بطئ التحميل و شكرا ملحوظه برفع التقيم اذا حلت المشكله باسرع وقت,0,167,Gaming
يقول لازم تسجل في حسابي عشان تستفيد من الخدمه من زين هاالخدمه الخايسه,ALKAHRABA,android,negative,يقول لازم تسجل في حسابي عشان تستفيد من الخدمه من زين هالخدمه الخايسه,0,68,Electricity & Energy
عروض جميله تطوير سريع الى الامام,HungerStation,ios,positive,عروض جميله تطوير سريع الي الامام,1,32,Food Delivery
رهيييب صح لانو في ملابس ناروتو,Red Imposter: Nightmare Christmas,android,positive,رهيب صح لانو في ملابس ناروتو,1,28,Gaming
برنامج جيد وانا استمتع بيه كثيرا,Yalla Group Voice Chat Rooms,ios,positive,برنامج جيد وانا استمتع بيه كثيرا,1,32,Voice Chat
بس مره حلوه,Call of Duty®: Mobile,ios,positive,بس مره حلوه,1,11,Gaming
أنا لقي الجوال,Find My Phone Whistle gadget finder by whistling,android,positive,انا لقي الجوال,1,14,Utilities
اللعبة جميله جداً جداً جداً ولكل شهر موسم جديد وانها قريبها الى ببجي,Call of Duty®: Mobile,ios,positive,العبه جميله جدا جدا جدا ولكل شهر موسم جديد وانها قريبها الي بجي,1,63,Gaming
جميل ومبسط ورائع وسهل التطبيق,CamScanner: PDF Scanner App,ios,positive,جميل ومبسط ورائع وسهل التطبيق,1,29,Utilities
عشان خاطر همس الجنوب,Yalla Group Voice Chat Rooms,ios,negative,عشان خاطر همس الجنوب,0,20,Voice Chat
المندوب سيئ جداً والطلب جاي بشكل مقزز واسلوبه زفت,HungerStation,ios,negative,المندوب سيئ جدا والطلب جاي بشكل مقز واسلوبه زفت,0,47,Food Delivery
سهل على المواطنين الكثير في التعاملات الالكترونيه,Absher App,ios,positive,سهل علي المواطنين الكثير في التعاملات الالكترونيه,1,49,Government Services
انصح الجميع بتحميله والاستفادة منه,Absher App,ios,positive,انصح الجميع بتحميله والاستفاده منه,1,34,Government Services
بعد التحديث لا يعمل,Snapchat,android,negative,بعد التحديث لا يعمل,0,19,Social Media
ولكن يجب ان تضيف علم دولتنا,Yalla Ludo Ludo&Domino,ios,positive,ولكن يجب ان تضيف علم دولتنا,1,27,Gaming
العبه حلوه فيها كثير مابات جميله من الاخر,Roblox,ios,positive,العبه حلوه فيها كثير مابات جميله من الاخر,1,41,Gaming
للفتيات فقط ؟,SayHi Chat Meet New People,ios,positive,لفتيات فقط ؟,1,12,Social Meeting
التطبيق سيئ ولا أستطيع الدخول برقم الهاتف ابدا,تقديم بلاغ مخالفة تجارية,android,negative,التطبيق سيئ ولا استطيع الدخول برقم الهاتف ابدا,0,46,Government Services
احلى لعبه في تاريخ البشرية,Garena Free Fire The Cobra,android,positive,احلي لعبه في تاريخ البشريه,1,26,Gaming
لايصلح وخاصه لعبت سباق السيارة تهكير مستمر انصح بل مغادرة,Tango Live Video Broadcasts and Streaming Chats,android,negative,لايصلح وخاصه لعبت سباق السياره تهكير مستمر انصح بل مغادره,0,57,Live Streaming
مريح جداً هذا التطبيق فكل مايخص تجديد او استخراج رخصه او جواز او اي معلومات اخرى احتاج لها فهذا التطبيق خدمه عامه للمواطنين والمقيمين,Absher App,ios,positive,مريح جدا هذا التطبيق فكل مايخص تجديد او استخراج رخصه او جواز او اي معلومات اخري احتاج لها فهذا التطبيق خدمه عامه لمواطنين والمقيمين,1,131,Government Services
مكرووووووووووه وعنيد جداًاًاًاااااااااااااااً,StarMaker: Sing free Karaoke Record music videos,android,negative,مكروه وعنيد جداااا,0,18,Entertainment
اللعبة ابن كلب,Construction Simulator 2014,android,negative,العبه ابن كلب,0,13,Simulation
افضل برنامج حكومي,Absher App,ios,positive,افضل برنامج حكومي,1,17,Government Services
والله للاسف أصبح التطبيق به عيوب كثيرة وأكثر الطلبيات توصلني خطأ . وتعبت من كتر الطلب والارجاع,noon shopping,android,negative,واله لاسف اصبح التطبيق به عيوب كثيره واكثر الطلبيات توصلني خطا وتعبت من كتر الطلب والارجاع,0,92,Shopping
وبرنامج رائع ومرح,SayHi Chat Meet New People,ios,positive,وبرنامج رائع ومرح,1,17,Social Meeting
مجتمع واعي البحريني في رصد تحركات المريض,"Rest Assured ""Tataman"" App",ios,negative,مجتمع واعي البحريني في رصد تحركات المريض,0,40,Government Services
رهيبه جدآ أنصحكم فيها,Call of Duty®: Mobile,android,positive,رهيبه جدا انصحكم فيها,1,21,Gaming
ياخي ان شاءالله اكل بريال ليش تحطو حد الاذنى للطلب لا كمان تخدو حق التوصيل على مزاجكم تمشونا لا و جننتونا إعلانات على فاضي,HungerStation Food Groceries Delivery & More,android,negative,ياخي ان شاءاله اكل بريال ليش تحطو حد الاذني لطلب لا كمان تخدو حق التوصيل علي مزاجكم تمشونا لا و جنتونا اعلانات علي فاضي,0,119,Food Delivery
الخدمة ممتازه جدا جدا,mystc KSA,ios,positive,الخدمه متازه جدا جدا,1,20,Other
اللعبه مره حلوه وممتعه وتستحق خمسة نجوم,Blob Runner 3D,android,positive,العبه مره حلوه ومتعه وتستحق خمسه نجوم,1,37,Gaming
نرجو دوام التطوير و التقدم و شكرا على التطبيق الرائع,Saudi Post App,ios,positive,نرجو دوام التطوير و التقدم و شكرا علي التطبيق الرائع,1,52,Government Services
ممتاز جيد جدآ,LivU: Meet new people & Video chat now,android,positive,متاز جيد جدا,1,12,Live Streaming
 يلا تطبيق جميل      أحب قضاء وقتي هنا,Yalla Group Voice Chat Rooms,ios,positive,يلا تطبيق جميل احب قضاء وقتي هنا,1,33,Voice Chat
واشكر حكومتنا الرشيدة وربي يحفظنا جميعا من كيد الكائدين,Absher App,ios,positive,واشكر حكومتنا الرشيده وربي يحفظنا جميعا من كيد الكائدين,1,55,Government Services
لعبة زى الزفت وادارة فاشلة كل همهم الشحن وبس ضيعو تعبنا ومجهودنا شهور ومش لاقين حد نتكلم معاة ومحدش بيرد ولا بيساعدنا. منكم لله كلنا هانترك لكم اللعبة بسبب الدعم الفاشل,Warfare Strike:Ghost Recon,android,negative,لعبه زي الزفت واداره فاشله كل همهم الشحن وبس ضيعو تعبنا ومجهودنا شهور ومش لاقين حد نتكلم معاه ومحدش بيرد ولا بيساعدنا منكم له كلنا هانترك لكم العبه بسب الدعم الفاشل,0,165,Gaming
تطبيق ولا اروع,mystc KSA,ios,positive,تطبيق ولا اروع,1,14,Other
برنامج جدا حلو,Yalla Group Voice Chat Rooms,ios,positive,برنامج جدا حلو,1,14,Voice Chat
حلو بيونس ماينوصف,Azar Video Chat,android,positive,حلو بيونس ماينوصف,1,17,Social Meeting
الله ياخذكم دايم معلق عندي,Microsoft Teams,ios,negative,اله ياخذكم دايم معلق عندي,0,25,Video Calls
ماشاءالله تجربه مميزه وافادني كثير لحجز موعد بدون تعب وعناء بارك الله على القائمين عليه,Mawid app,ios,positive,ماشاءاله تجربه ميزه وافادني كثير لحجز موعد بدون تعب وعناء بارك اله علي القائمين عليه,1,84,Government Services
العب مره مره مره حلو أحبه كثير ,Roblox,android,positive,العب مره مره مره حلو احبه كثير,1,31,Gaming
احسن تطبيق شفته بحياتي,House Life 3D,android,negative,احسن تطبيق شفته بحياتي,0,22,Simulation
العبه ما كاعد تنزل ليش,House Life 3D,android,negative,العبه ما كاعد تنزل ليش,0,22,Simulation
جميل جدا ,Instagram,android,positive,جميل جدا,1,9,Social Media
كان شغال حلو دلوقتي مش بيفتح,Ahlan Free Group Voice Chat & ClubHouse,android,negative,كان شغال حلو دلوقتي مش بيفتح,0,28,Voice Chat
حقيقة برنامج ممتاز وذو فكرة جميلة جدا,SayHi Chat Meet New People,ios,positive,حقيقه برنامج متاز وذو فكره جميله جدا,1,36,Social Meeting
مندوب التوصيل سيئ جدا,HungerStation,ios,negative,مندوب التوصيل سيئ جدا,0,21,Food Delivery
ان العب جميله جداااااا انصح في تنزيلها,Rise of Kingdoms: Lost Crusade,android,positive,ان العب جميله جدا انصح في تنزيلها,1,33,Gaming
المناديب غير ملتزمين نهائياً,HungerStation,ios,negative,المناديب غير ملتزمين نهائيا,0,27,Food Delivery
سهل كثير إشياء شكرا,Absher App,ios,positive,سهل كثير اشياء شكرا,1,19,Government Services
غايه في الروعه,Evertale,android,positive,غايه في الروعه,1,14,Gaming
لعبة انتهزية والحظر فيها عشوائي,انتقام السلاطين,android,negative,لعبه انتهزيه والحظر فيها عشوائي,0,31,Gaming
مره بشع يعععععععععععععععععععععععععععععععععععععععععععععععععععععع🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢,TopTop Online Mak ha,android,negative,مره بشع يع,0,12,Live Streaming
من حبي في يلا ليف اتمني الفوز بالجزيره لكي تكتمل فرحتي,Yalla Group Voice Chat Rooms,ios,positive,من حبي في يلا ليف اتمني الفوز بالجزيره لكي تكتمل فرحتي,1,54,Voice Chat
مكدر قو م و,Join Clash 3D,android,positive,مكدر قو م و,1,11,Gaming
معجب جدا باللعبة وشيقه,Grand Theft Auto: San Andreas,android,positive,معجب جدا بالعبه وشيقه,1,21,Gaming
تطبيق ملخبط على بعضه,Ministry of Environment Water & Agriculture App,ios,negative,تطبيق ملخبط علي بعضه,0,20,Government Services
البرنامج لا يعمل,"""Tawakkalna"" App",ios,negative,البرنامج لا يعمل,0,16,Government Services
برنامج وحش اووي كل لما احمل البرنامج يقول فشل التنزيل,Likee Let You Shine,android,negative,برنامج وحش اوي كل لما احمل البرنامج يقول فشل التنزيل,0,52,Live Streaming
سيء جدا جدا,Frontier Justice Return to the Wild West,android,negative,سيء جدا جدا,0,11,Gaming
ياحمير شهالبرنامج الزق كل يوم بيطلعني و كل من شفته قدامي ضاق خلقي ليش سويتوه شمعنى التدائي و متوسط يخلصون قبلنا الله يلعنكم و يلعن برنامجكم,Microsoft Teams,ios,negative,ياحمير شهالبرنامج الزق كل يوم بيطلعني و كل من شفته قدامي ضاق خلقي ليش سويتوه شمعني التدائي و متوسط يخلصون قبلنا اله يلعنكم و يلعن برنامجكم,0,138,Video Calls
ال لعب حلو تستاهل خمسة نجوم5,Fat Pusher,android,positive,ال لعب حلو تستاهل خمسه نجوم,1,28,Gaming
انا اتبسط جدااا فى برنامج يلا من الاصدقاء و النقاشااات  و الالعاب,Yalla Group Voice Chat Rooms,ios,positive,انا اتبسط جدا في برنامج يلا من الاصدقاء و النقاشات و الالعاب,1,60,Voice Chat
قمة الغباء ان ماعندك خدمة استعلام عن فاتورة... هل من الحكمه ان تطلب الرقي في الخدمة تعقدها ام تبسطها... أعيدوا الخدمة السابقة افضل,ALKAHRABA,android,negative,قمه الغباء ان ماعندك خدمه استعلام عن فاتوره هل من الحكمه ان تطلب الرقي في الخدمه تعقدها ام تبسطها اعيدوا الخدمه السابقه افضل,0,126,Electricity & Energy
تجربتي للتطبيق انا دخلت على عروض الفنادق حصلت عرض على فندق البلاد في جده قيمة الليله على ٤٥٠ تقريباً بعد خصم وزارة الصحه دخلت على البوكينق حصلت حجز ب ٣٦٠ في نفس الفندق ضحك واستغفال عيني عينك واللي مو مصدق يجرب يدخل على عروض الفنادق في تطبيق عشانك ويقارنها بالبوكينق (قال ايش قال عشانك) ,Ashanak,android,negative,تجربتي لتطبيق انا دخلت علي عروض الفنادق حصلت عرض علي فندق البلاد في جده قيمه اليله علي تقريبا بعد خصم وزاره الصحه دخلت علي البوكينق حصلت حجز ب في نفس الفندق ضحك واستغفال عيني عينك والي مو مصدق يجرب يدخل علي عروض الفنادق في تطبيق عشانك ويقارنها بالبوكينق قال ايش قال عشانك,0,282,Government Services
هذه العبه جميلة جداً 🤩🤩🤩🤩🤩,My Town : Best Friends' House games for kids,android,positive,هذه العبه جميله جدا,1,21,Gaming
احذروه برنامج خطر جدآ جدآ يساعد على انتهاك الخصوصية والتعرض للابتزاز ونشر الإباحية والرزيلة,SayHi Chat Meet New People,android,negative,احذروه برنامج خطر جدا جدا يساعد علي انتهاك الخصوصيه والتعرض لابتزاز ونشر الاباحيه والرزيله,0,90,Social Meeting
موقع سيء جداً جداً جداً يشغلك بأجراءته واخرتها ماتقدر تطبع الإجازة منه,Sehhaty App:,ios,negative,موقع سيء جدا جدا جدا يشغلك باجراءته واخرتها ماتقدر تطبع الاجازه منه,0,67,Government Services
واو جميل !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Instagram,android,positive,واو جميل,1,10,Social Media
للأمانه هذا التطبيق من بنات افكاره  واليوم ننعم بهذا التطبيق المهم لكل مواطن سهل علينا امور كثيرة الله يسهل عليك امورك يامحمد بن نايف,Absher App,ios,positive,لامانه هذا التطبيق من بنات افكاره واليوم نعم بهذا التطبيق المهم لكل مواطن سهل علينا امور كثيره اله يسهل عليك امورك يامحمد بن نايف,1,129,Government Services
"ما الحاجة للموسيقى بداية التطبيق سخافه حقاً .. ماعلاقة الموسيقى بالخدمات 
المقدمة .. جاري حذف التطبيق",وزارة البيئة والمياه والزراعة,android,negative,ما الحاجه لموسيقي بدايه التطبيق سخافه حقا ماعلاقه الموسيقي بالخدمات المقدمه جاري حذف التطبيق,0,97,Government Services
تطبيق جدا رائع ربي يحفظكم يارب ,أسعفني,android,positive,تطبيق جدا رائع ربي يحفظكم يارب,1,31,Government Services
اداره البرنامج تقوم بنتهاك حقوق المسخدمين,YoHo: Group voice chat Live talk & ClubHouse,android,negative,اداره البرنامج تقوم بنتهاك حقوق المسخدمين,0,41,Voice Chat
يقول المثل دام البحر ماتبلط عمرنا مانخاوي جحلط ابو عزه:,Azar Video Chat,android,positive,يقول المثل دام البحر ماتبلط عمرنا مانخاوي جحلط ابو عزه,1,55,Social Meeting
سي سي سي سي سي تاخير وجد عدم احترام,HungerStation,ios,negative,سي سي سي سي سي تاخير وجد عدم احترام,0,35,Food Delivery
والله العظيم اقدر اعمال اكتفيشن البرنامج ويشتغل على اى موبايل وطريقه سهله بدون اى مشاكل بس لازم كمبيوتر وفى ناس عندها كمبيوتر ومش عارفين بفعله اخر خيار بس كل المشاكل دى عندى حلها وسهله وكله يدخل يعملى استراك لو وصلت 1000 مشترك هنزل فيديو ولو منزلتش كله يلغى الاشتراك عادى بس ياربت اللى يشترك يعرفنى انه جاى من هنا,Panda Gamepad Pro BETA,android,positive,واله العظيم اقدر اعمال اكتفيشن البرنامج ويشتغل علي اي موبايل وطريقه سهله بدون اي مشاكل بس لازم كمبيوتر وفي ناس عندها كمبيوتر ومش عارفين بفعله اخر خيار بس كل المشاكل دي عندي حلها وسهله وكله يدخل يعملي استراك لو وصلت مشترك هنزل فيديو ولو منزلتش كله يلغي الاشتراك عادي بس ياربت الي يشترك يعرفني انه جاي من هنا,1,309,Utilities
"على قولة ناصر
جميل جميل جميل

اعجبتني جداً فكرة التصفح المتخفي
جداً رائعه",Google Chrome,ios,positive,علي قوله ناصر جميل جميل جميل اعجبتني جدا فكره التصفح المتخفي جدا رائعه,1,71,Utilities
للأسف الشديد مش بيكمل معايا بادخل معلومات ابشر ويقولي تم التحقق وبعدين يكتبلي تحت السماح للبرامج الوصول الى موقعك وعلى اليسار مكتوب اعد المحاولة ونتوقف عند النقطة دي مع العلم ان جوالي عادي باطلب منه اوبر وموقعي معروف,Mawid app,ios,negative,لاسف الشديد مش بيكمل معايا بادخل معلومات ابشر ويقولي تم التحق وبعدين يكتبلي تحت السماح لبرامج الوصول الي موقعك وعلي اليسار مكتوب اعد المحاوله ونتوقف عند النقطه دي مع العلم ان جوالي عادي باطلب منه اوبر وموقعي معروف,0,213,Government Services
تجنن أنصحكم فيها,Mobile Legends: Bang Bang,android,positive,تجن انصحكم فيها,1,15,Gaming
اللعبهـ تعلق و التحديث جداً سيئ ارجو حل للمشكلة سريع,Yalla Ludo Ludo&Domino,ios,negative,العبه تعلق و التحديث جدا سيئ ارجو حل لمشكله سريع,0,48,Gaming
حذفتوا الاستعلام عن الفواتير ليش.. تبون شغلكم بالدس,وزارة البيئة والمياه والزراعة,android,negative,حذفتوا الاستعلام عن الفواتير ليش تبون شغلكم بالدس,0,50,Government Services
انا ما عجبني هذا البرنامج وانا بقيمة صفر صفر انا ما بدي احت النجما بس كيف انشر غريب وانا حتا نجم,MICO: Make Friends Live Chat and Go Live Stream,android,negative,انا ما عجبني هذا البرنامج وانا بقيمه صفر صفر انا ما بدي احت النجما بس كيف انشر غريب وانا حتا نجم,0,96,Social Meeting
سيئين بالتعامل مع المناديب جدا جدا جدا,HungerStation Food Groceries Delivery & More,android,negative,سيئين بالتعامل مع المناديب جدا جدا جدا,0,38,Food Delivery
التطبيق لايعمل على الايفون نرجو تحديثه,Reporting Trade Violations app,ios,negative,التطبيق لايعمل علي الايفون نرجو تحديثه,0,38,Government Services
المشاكل فى هذا التطبيق منذ انشائه والآن لا يفتح التطبيق بسبب ( التحديث ) وعند محاولة التحديث يتظح انه لا يوجد تحديث وعند محاولة فتح التطبيق يطلب تحديث وهكذا لى يومين عجزت ادخل التطبيق,موارد Mawared,android,negative,المشاكل في هذا التطبيق منذ انشائه والان لا يفتح التطبيق بسب التحديث وعند محاوله التحديث يتظح انه لا يوجد تحديث وعند محاوله فتح التطبيق يطلب تحديث وهكذا لي يومين عجزت ادخل التطبيق,0,182,Government Services
مطلع ان لدي جيلبريك وانا اصلا لم يكن لدي جلبريك الان او سابقاً,"""Tawakkalna"" App",ios,negative,مطلع ان لدي جيلبريك وانا اصلا لم يكن لدي جلبريك الان او سابقا,0,61,Government Services
عنصريه الف كل ماتدخل يطلعوك الخرفان. تبي تسولف يطلعوك تبي تتابع وتسمع سوالف يطلعوك للأسف خساره نزله. للأمانه في واحد يدق عود اسمه جن او شئ من ذا القبيل هذا الشخص جداااا كويس. أما التطبيق بشكل ٩٨ ٪سئ والله على مااقول حتى  مايستاهل,Hakuna: Live Stream Meet and Chat Make Friends,android,negative,عنصريه الف كل ماتدخل يطلعوك الخرفان تبي تسولف يطلعوك تبي تابع وتسمع سوالف يطلعوك لاسف خساره نزله لامانه في واحد يدق عود اسمه جن او شئ من ذا القبيل هذا الشخص جدا كويس اما التطبيق بشكل ٪سئ واله علي ماقول حتي مايستاهل,0,220,Live Streaming
السلام عليكم ورحمه من الله وبركاته,Tango Live Video Broadcasts,ios,positive,السلام عليكم ورحمه من اله وبركاته,1,33,Live Streaming
تقوم بالتحميل فى وقت كثير مما جدان,Lords Mobile: Kingdom Wars,android,negative,تقوم بالتحميل في وقت كثير ما جدان,0,33,Gaming
جيد جدا واكثر بنسبة لي هالبرنامج اكثر من ممتاز فيه تعرف كل انواع الثقافات كما يوجد فيه مختلف المسابقات العلمية منها و ثقافية اضافة وجود أشخاص رائعون مشكلتي هي إنى لا أعرف اشحن و تقبلو مني فائق الاحترام و التقدير سالفا شكرا لهتمامكم لمشاكلنا,StarChat Group Voice Chat Room,android,positive,جيد جدا واكثر بنسبه لي هالبرنامج اكثر من متاز فيه تعرف كل انواع الثقافات كما يوجد فيه مختلف المسابقات العلميه منها و ثقافيه اضافه وجود اشخاص رائعون مشكلتي هي اني لا اعرف اشحن و تقبلو مني فائق الاحترام و التقدير سالفا شكرا لهتمامكم لمشاكلنا,1,239,Voice Chat
اشكركم على التطبيق,mystc KSA,ios,positive,اشكركم علي التطبيق,1,18,Other
اتمني من الإدارة أن تراجع نفسها في التحديث الاخير الخاص بتبديل الذهب لماذا الشحن مقابل التبديل في التحديث الاخير اتمني ترجعون مثل الاول,Nida Harb 3: Alliance Empire MMO Nuclear War,android,negative,اتمني من الاداره ان تراجع نفسها في التحديث الاخير الخاص بتبديل الذهب لماذا الشحن مقابل التبديل في التحديث الاخير اتمني ترجعون مثل الاول,0,135,Gaming
خدمة العملاء لديهم سيئة جداً ، تم الطلب من مطعم ودفع المبلغ اونلاين وقد وجهوا المندوب لفرع مغلق ومن ثم لم يصل الطلب ولم يتم الرد الا بعد ثلاث ساعات,ToYou Food & Transportation,ios,negative,خدمه العملاء لديهم سيئه جدا ، تم الطلب من مطعم ودفع المبلغ اونلاين وقد وجهوا المندوب لفرع مغلق ومن ثم لم يصل الطلب ولم يتم الرد الا بعد ثلاث ساعات,0,146,Food Delivery
في تطبيق يلا تم بالفعل تغطية أكثر من خمسين دولة,Yalla Group Voice Chat Rooms,ios,positive,في تطبيق يلا تم بالفعل تغطيه اكثر من خمسين دوله,1,47,Voice Chat
افضل تطبيق ويستاهل مليار نجمه,Google Maps Transit & Food,ios,positive,افضل تطبيق ويستاهل مليار نجمه,1,29,Utilities
تطبيق روعة جداً واستجابة من الوزارة تشكر عليها,Reporting Trade Violations app,ios,positive,تطبيق روعه جدا واستجابه من الوزاره تشكر عليها,1,45,Government Services
البرنامج ممتاز لكنه للاسف يتسبب بالحظر,PGT +🔧: Pro GFX & Optimizer with advance setting,android,positive,البرنامج متاز لكنه لاسف يتسب بالحظر,1,35,Other
هذا التقييم عشان اني مش اللي العب انا على كيف الكمبيوتر,Yalla Ludo Ludo&Domino,ios,negative,هذا التقيم عشان اني مش الي العب انا علي كيف الكمبيوتر,0,53,Gaming
أنا أول واحد اجرب اللعبه دي وكانت جيالي تجربي ومصور عليها فيديو شوفو في قناتي لو مش مصدقين اسم قناتي عشان تصدقو hourse xx gamer ومع السلامه,RFS Real Flight Simulator,android,positive,انا اول واحد اجرب العبه دي وكانت جيالي تجربي ومصور عليها فيديو شوفو في قناتي لو مش مصدقين اسم قناتي عشان تصدقو ومع السلامه,1,137,Simulation
لعبة رائعة وتحتاج للذكاء و التركيز,Mafia City,android,positive,لعبه رائعه وتحتاج لذكاء و التركيز,1,33,Gaming
أفضل لعب بعد فري فاير لاكن هي أحسن من بابجي رائع جدا اااأاااااااااااااااااااااااااا ن,Mobile Legends: Bang Bang,android,positive,افضل لعب بعد فري فاير لاكن هي احسن من بابجي رائع جدا ا ن,1,56,Gaming
التطبيق الحين سار جدا رائع الله يعطيكم العافية,mystc KSA,ios,positive,التطبيق الحين سار جدا رائع اله يعطيكم العافيه,1,45,Other
كنت حاسس اني غريب اول ما استخدمت التطبيق بس دلوقتي مقدرش استغني عنه,Yalla Group Voice Chat Rooms,ios,positive,كنت حاس اني غريب اول ما استخدمت التطبيق بس دلوقتي مقدرش استغني عنه,1,66,Voice Chat
ممتاز جيد جدا,8 Ball Pool,android,positive,متاز جيد جدا,1,12,Gaming
رائع أشكر من صممه,CamScanner: PDF Scanner App,ios,positive,رائع اشكر من صمه,1,16,Utilities
نصيحة اخ مجرب لا تشتري منه شي حتى الي  ب ٨ ريال,Lamour—Meet New Friends,ios,negative,نصيحه اخ مجرب لا تشتري منه شي حتي الي ب ريال,0,46,Social Meeting
مايسجل دخوووول ليه,Kollona Amn,android,negative,مايسجل دخول ليه,0,15,Government Services
تطبيق يلا من بيحتاج سرعة نت عالية ممكن يشتغل باقل حاجة تطبيق ممتاز جدا,Yalla Group Voice Chat Rooms,ios,positive,تطبيق يلا من بيحتاج سرعه نت عاليه مكن يشتغل باقل حاجه تطبيق متاز جدا,1,68,Voice Chat
أسهل من قبل واسرع,mystc KSA,ios,positive,اسهل من قبل واسرع,1,17,Other
